2024/07/09 08:58:49 [warn] 246#246: *1297 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/47/0000000477 while reading upstream, client: 104.197.69.115, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/react-icons_fi.js?v=649be607 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/react-icons_fi.js?v=649be607", host: "vpro.holadmexbob.online", referrer: "http://vpro.holadmexbob.online/src/components/Common/UserMenu.tsx"
2024/07/09 08:58:49 [warn] 246#246: *1289 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/47/0000000478 while reading upstream, client: 34.72.176.129, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/react-icons_bs.js?v=bb0b5df4 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/react-icons_bs.js?v=bb0b5df4", host: "vpro.holadmexbob.online", referrer: "http://vpro.holadmexbob.online/src/components/Common/ActionsMenu.tsx"
2024/07/09 08:58:52 [warn] 246#246: *1298 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/47/0000000479 while reading upstream, client: 34.122.147.229, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/WIIHGP5G-53S2SJXP.js?v=acfdfb27 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/WIIHGP5G-53S2SJXP.js?v=acfdfb27", host: "vpro.holadmexbob.online", referrer: "http://vpro.holadmexbob.online/login"
2024/07/09 08:59:00 [warn] 246#246: *1370 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/48/0000000480 while reading upstream, client: 205.169.39.172, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/@chakra-ui_react.js?v=c8e01e14 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/@chakra-ui_react.js?v=c8e01e14", host: "vpro.holadmexbob.online", referrer: "http://vpro.holadmexbob.online/src/main.tsx"
2024/07/09 08:59:00 [warn] 247#247: *1379 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/48/0000000481 while reading upstream, client: 205.169.39.172, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/chunk-EL3PUDHE.js?v=acfdfb27 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/chunk-EL3PUDHE.js?v=acfdfb27", host: "vpro.holadmexbob.online", referrer: "http://vpro.holadmexbob.online/node_modules/.vite/deps/react-dom_client.js?v=4b7b9076"
2024/07/09 08:59:00 [warn] 246#246: *1375 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/48/0000000482 while reading upstream, client: 205.169.39.172, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/chunk-6YVH6SSW.js?v=acfdfb27 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/chunk-6YVH6SSW.js?v=acfdfb27", host: "vpro.holadmexbob.online", referrer: "http://vpro.holadmexbob.online/node_modules/.vite/deps/@tanstack_react-router.js?v=fdb86624"
2024/07/09 08:59:01 [warn] 247#247: *1381 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/48/0000000483 while reading upstream, client: 205.169.39.172, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/zod.js?v=47b7745a HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/zod.js?v=47b7745a", host: "vpro.holadmexbob.online", referrer: "http://vpro.holadmexbob.online/src/routes/_layout/items.tsx"
2024/07/09 08:59:02 [warn] 246#246: *1373 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/48/0000000484 while reading upstream, client: 205.169.39.172, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/chunk-3HOHBJ6D.js?v=acfdfb27 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/chunk-3HOHBJ6D.js?v=acfdfb27", host: "vpro.holadmexbob.online", referrer: "http://vpro.holadmexbob.online/node_modules/.vite/deps/@chakra-ui_icons.js?v=969d6bb0"
2024/07/09 08:59:02 [warn] 246#246: *1375 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/48/0000000485 while reading upstream, client: 205.169.39.172, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/react-icons_fa.js?v=5136c268 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/react-icons_fa.js?v=5136c268", host: "vpro.holadmexbob.online", referrer: "http://vpro.holadmexbob.online/src/components/Common/UserMenu.tsx"
2024/07/09 08:59:02 [warn] 247#247: *1381 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/48/0000000486 while reading upstream, client: 205.169.39.172, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/react-icons_bs.js?v=bb0b5df4 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/react-icons_bs.js?v=bb0b5df4", host: "vpro.holadmexbob.online", referrer: "http://vpro.holadmexbob.online/src/components/Common/ActionsMenu.tsx"
2024/07/09 08:59:15 [warn] 246#246: *1475 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/48/0000000487 while reading upstream, client: 180.149.4.140, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/@chakra-ui_react.js?v=c8e01e14 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/@chakra-ui_react.js?v=c8e01e14", host: "vpro.holadmexbob.online", referrer: "https://vpro.holadmexbob.online/src/main.tsx"
2024/07/09 08:59:15 [warn] 246#246: *1463 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/48/0000000488 while reading upstream, client: 162.43.239.254, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/@chakra-ui_react.js?v=c8e01e14 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/@chakra-ui_react.js?v=c8e01e14", host: "vpro.holadmexbob.online", referrer: "https://vpro.holadmexbob.online/src/main.tsx"
2024/07/09 08:59:16 [warn] 247#247: *1481 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/48/0000000489 while reading upstream, client: 188.241.207.15, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/chunk-EL3PUDHE.js?v=acfdfb27 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/chunk-EL3PUDHE.js?v=acfdfb27", host: "vpro.holadmexbob.online", referrer: "https://vpro.holadmexbob.online/node_modules/.vite/deps/react-dom_client.js?v=4b7b9076"
2024/07/09 08:59:16 [warn] 246#246: *1469 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/49/0000000490 while reading upstream, client: 168.151.105.172, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/chunk-3HOHBJ6D.js?v=acfdfb27 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/chunk-3HOHBJ6D.js?v=acfdfb27", host: "vpro.holadmexbob.online", referrer: "https://vpro.holadmexbob.online/node_modules/.vite/deps/@chakra-ui_react.js?v=c8e01e14"
2024/07/09 08:59:16 [warn] 246#246: *1459 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/49/0000000491 while reading upstream, client: 168.151.166.186, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/chunk-EL3PUDHE.js?v=acfdfb27 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/chunk-EL3PUDHE.js?v=acfdfb27", host: "vpro.holadmexbob.online", referrer: "https://vpro.holadmexbob.online/node_modules/.vite/deps/react-dom_client.js?v=4b7b9076"
2024/07/09 08:59:16 [warn] 247#247: *1481 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/49/0000000492 while reading upstream, client: 188.241.207.15, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/react-icons_bs.js?v=bb0b5df4 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/react-icons_bs.js?v=bb0b5df4", host: "vpro.holadmexbob.online", referrer: "https://vpro.holadmexbob.online/src/components/Common/ActionsMenu.tsx"
2024/07/09 08:59:16 [warn] 246#246: *1485 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/49/0000000493 while reading upstream, client: 205.237.94.239, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/react-icons_fa.js?v=5136c268 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/react-icons_fa.js?v=5136c268", host: "vpro.holadmexbob.online", referrer: "https://vpro.holadmexbob.online/src/components/Common/Navbar.tsx"
2024/07/09 08:59:16 [warn] 246#246: *1499 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/49/0000000494 while reading upstream, client: 188.241.203.8, server: vpro.holadmexbob.online, request: "GET /node_modules/.vite/deps/react-icons_fa.js?v=5136c268 HTTP/1.1", upstream: "http://172.20.0.6:5173/node_modules/.vite/deps/react-icons_fa.js?v=5136c268", host: "vpro.holadmexbob.online", referrer: "https://vpro.holadmexbob.online/src/components/Common/UserMenu.tsx"
